,Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Memory clock,Channels,Storage size (GB),Storage type,Memory card,OS suppoert (years),Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Web browsing (min),Watching video (min),Gaming (min),Standby (hr),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Angle of widest lens (°),Camera features,Aperture,Sensor size,Pixel size (micron),Autofocus,Front camera megapixels,Video resolution,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Type of SIM card,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Speakers,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price ($),Bundled charger,LTE Cat*,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
352,Xiaomi,884029,240841,264605,164334,214249,AMOLED,6.81,1440,3200,515,120,1,900.0,1,480.0, - DCI-P3 - Always-On Display - DC Dimming,164.3,74.6,8.5,205.0,IP68,Glass,Metal,"Yes, in-display",4.0,Samsung,5.0,1,884029,8,LPDDR5,2750.0,2.0,128,UFS 3.1,No,3.0,5000,67.0,Li-Po,No,1,1,1,37.0,,,,,50.0,Digital,Dual LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode - RAW support,2.3,3.4,0.8,Phase autofocus,20.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,1239,1099.0,0,24,1,1,1,1,1,1,1,1,1,0,0,0,1
353,OnePlus,1280662,352099,472178,204661,251184,AMOLED,6.74,1240,2772,450,120,1,500.0,1,360.0, - DCI-P3 - Always-On Display - DC Dimming,163.4,74.3,8.7,204.0,No,Glass,Metal,"Yes, in-display",6.0,TSMC,4.0,1,1280662,12,LPDDR5X,,4.0,256,UFS 3.1,No,,5000,100.0,Li-Po,No,0,0,1,26.0,,,,,50.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.4,3.09,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,568,390.0,1,18,1,1,1,1,1,1,0,0,0,0,0,1,0
354,Infinix,428673,140882,65431,115134,107226,IPS LCD,6.78,1080,2460,396,120,0,500.0,0,, - DCI-P3,168.6,76.6,8.25,199.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,428673,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5000,33.0,Li-Po,No,0,1,1,85.0,727.0,729.0,328.0,157.0,108.0,Digital,Quad LED,No,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.2,,0.64,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Mid-range,265,225.0,1,13,1,1,1,1,1,1,0,0,0,0,0,0,1
355,Xiaomi,376385,134288,72184,70690,99223,AMOLED,6.47,1080,2340,398,60,0,430.0,1,, - DCI-P3 - Always-On Display - DC Dimming,157.8,74.2,9.7,204.0,No,Glass,Metal,"Yes, in-display",,Samsung,8.0,1,376385,6,LPDDR4X,1866.0,2.0,128,UFS 2.1,No,2.0,5260,30.0,Li-Po,No,0,0,1,85.0,543.0,834.0,324.0,125.0,64.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.5,3.1,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Mid-range,1574,425.0,0,12,1,1,1,1,1,1,0,0,0,0,0,0,1
356,Oppo,1612065,437983,607388,283058,283636,AMOLED,6.82,1440,3168,510,120,1,2500.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,164.8,76.2,9.1,218.0,IP68,Glass,Metal,"Yes, in-display",8.0,TSMC,4.0,1,1612065,12,LPDDR5X,4266.0,4.0,256,UFS 4.0,No,1.0,5000,100.0,Li-Po,No,1,1,1,30.0,613.0,1007.0,351.0,106.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,110.0, - Bokeh mode - Pro mode - RAW support,2.4,2.74,0.8,Phase autofocus,32.0,2160p (4K) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,540,875.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
357,Xiaomi,1536568,380418,600588,277637,277637,OLED,6.73,1440,3200,522,120,1,500.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,162.9,74.6,8.38,229.0,IP68,Glass,Metal,"Yes, in-display",8.0,TSMC,4.0,1,1536568,8,LPDDR5X,,4.0,128,UFS 4.0,No,1.0,4820,120.0,Li-Po,No,1,1,1,22.0,486.0,799.0,283.0,110.0,50.0,Digital,Dual LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,115.0, - Bokeh mode - Pro mode - RAW support,2.0,3.14,0.7,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,630,1299.0,1,20,1,1,1,1,1,1,1,0,0,0,0,1,0
358,Samsung,149980,55069,16085,46867,31959,PLS TFT,6.6,1080,2408,400,60,0,500.0,0,,,165.1,76.4,8.8,195.0,No,Plastic,Plastic,"Yes, in-button",,Samsung,8.0,0,149980,3,LPDDR4X,,2.0,32,eMMC 5.1,MicroSD,2.0,5000,15.0,Li-Po,No,0,0,1,138.0,532.0,798.0,346.0,127.0,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.2,5.0,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,,No,Mono,Yes,No,Yes,Budget,905,189.0,1,7,0,0,1,0,1,1,0,0,0,0,0,0,1
359,Vivo,339060,100167,40138,118556,80139,IPS LCD,6.64,1080,2388,395,90,0,650.0,0,, - DCI-P3,164.06,76.17,8.07,202.0,IP54,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,339060,4,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5000,44.0,Li-Po,No,0,1,1,55.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.5,,,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Mid-range,479,220.0,1,13,1,1,1,1,1,1,0,0,0,0,0,0,1
360,Vivo,712380,239086,175677,118258,179359,AMOLED,6.77,1080,2400,395,120,1,1800.0,1,, - DCI-P3 - Always-On Display - DC Dimming,163.17,75.81,7.83,188.0,IP54,Plastic,Plastic,"Yes, in-display",4.0,TSMC,4.0,1,712380,8,LPDDR5,3200.0,2.0,256,UFS 2.2,MicroSD,,5000,44.0,Li-Po,No,0,0,1,,,,,,50.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.0,2.0,0.7,No,16.0,1080p (Full HD) at 30 FPS,No,No,No,2,Nano,Standby,No,Yes,Yes,Stereo,No,No,,Mid-range,174,,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
361,Vivo,911751,286981,238516,167371,218883,AMOLED,6.78,1080,2400,388,120,0,500.0,1,360.0, - DCI-P3 - Always-On Display - DC Dimming,164.8,76.9,8.6,193.0,No,Plastic,Plastic,"Yes, in-display",4.0,TSMC,4.0,1,911751,8,LPDDR5,,4.0,128,UFS 3.1,No,,5000,120.0,Li-Po,No,0,0,1,25.0,,,,,64.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.5,1.97,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,No,Mid-range,568,360.0,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
362,Samsung,713203,212654,215469,137373,147707,Super AMOLED,6.5,1080,2400,407,120,0,740.0,1,, - DCI-P3 - Always-On Display,159.8,74.5,8.4,190.0,IP68,Plastic,Metal,"Yes, in-display",2.0,Samsung,7.0,1,713203,6,LPDDR5,2750.0,2.0,128,UFS 3.1,MicroSD,3.0,4500,25.0,Li-Po,No,1,1,1,95.0,,,,,12.0,Optical,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode - RAW support,2.0,2.74,0.8,Phase autofocus,32.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,No,Yes,No,Stereo,No,No,Yes,Flagship,1421,700.0,1,19,1,1,1,1,1,1,0,1,1,0,0,0,1
363,Xiaomi,437912,139627,83565,96162,118558,Super AMOLED,6.67,1080,2400,395,120,0,500.0,1,360.0, - DCI-P3 - Always-On Display,164.19,76.1,8.12,202.0,No,Glass,Plastic,"Yes, in-button",,TSMC,6.0,1,437912,6,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5000,67.0,Li-Po,No,0,0,1,47.0,,,,,108.0,Digital,LED,Digital,No,No,Up to 30FPS,118.0, - Bokeh mode - Pro mode,2.5,3.06,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,Yes,Yes,Stereo,Yes,Yes,,Mid-range,905,250.0,1,18,0,1,1,1,1,1,0,0,0,0,0,0,1
364,OnePlus,1293309,343321,498636,250130,201222,AMOLED,6.74,1240,2772,450,120,1,2150.0,1,, - DCI-P3 - Always-On Display - DC Dimming,162.6,75.0,7.99,199.5,IP65,Metal,Metal,"Yes, in-display",,TSMC,4.0,1,1293309,8,LPDDR5X,4200.0,4.0,128,UFS 4.0,No,,5500,100.0,Li-Po,No,0,0,1,28.0,976.0,712.0,420.0,114.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.4,3.09,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,No,Mid-range,21,499.0,0,13,1,1,1,1,1,1,0,1,1,0,0,1,0
365,Xiaomi,739912,220185,194802,138998,185927,IPS LCD,6.67,1080,2400,395,144,0,630.0,1,, - DCI-P3,165.1,76.4,9.3,218.0,No,Glass,Metal,"Yes, in-button",4.0,TSMC,7.0,1,739912,8,LPDDR5,2750.0,2.0,128,UFS 3.1,No,2.0,5000,33.0,Li-Po,No,0,0,1,58.0,654.0,936.0,358.0,125.0,108.0,Digital,LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode - RAW support,2.2,3.4,0.8,No,20.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,1360,710.0,0,22,1,1,1,1,1,1,0,0,0,0,0,0,1
366,Samsung,144567,51523,18476,35927,38641,PLS TFT,6.5,720,1600,270,60,0,400.0,0,,,164.4,76.3,9.1,192.0,No,Plastic,Plastic,No,,TSMC,12.0,0,144567,3,LPDDR4X,1600.0,2.0,32,eMMC 5.1,MicroSD,1.0,5000,15.0,Li-Ion,No,0,0,1,134.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.2,,0.8,No,5.0,1080p (Full HD) at 30 FPS,No,No,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,Yes,Budget,691,140.0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1
367,OnePlus,1942603,428614,791748,395080,327161,AMOLED,6.82,1440,3168,510,120,1,1600.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,163.3,75.8,9.15,220.0,IP65,Glass,Metal,"Yes, in-display",12.0,TSMC,4.0,1,1942603,12,LPDDR5X,4266.0,4.0,256,UFS 4.0,No,,5400,100.0,Li-Po,No,1,1,1,24.0,790.0,1129.0,365.0,114.0,50.0,Optical,Dual LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode,2.4,2.74,0.8,No,32.0,2160p (4K) at 30 FPS,No,Yes,Yes,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,203,799.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
368,Google,907387,257861,279144,157307,213075,AMOLED,6.3,1080,2400,416,90,0,450.0,1,, - DCI-P3 - Always-On Display,155.6,73.2,8.7,197.0,IP68,Glass,Metal,"Yes, in-display",4.0,Samsung,5.0,1,907387,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,1.0,4355,20.0,Li-Po,No,1,1,1,100.0,478.0,822.0,314.0,82.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode - RAW support,2.2,3.1,1.22,No,10.8,2160p (4K) at 60 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,No,Flagship,691,599.0,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
369,Realme,869092,214183,296241,161033,197635,Super AMOLED,6.43,1080,2400,409,120,0,450.0,1,360.0, - DCI-P3 - Always-On Display - DC Dimming,158.5,73.3,8.4,186.0,No,Glass,Plastic,"Yes, in-display",4.0,Samsung,5.0,1,869092,8,LPDDR5,2750.0,2.0,128,UFS 3.1,No,3.0,4500,65.0,Li-Ion,No,0,0,1,39.0,461.0,689.0,305.0,88.0,64.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.5,3.0,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,Yes,No,Yes,Flagship,1270,505.0,0,20,1,1,1,1,1,1,0,0,0,0,0,0,1
370,Sony,731679,231239,188701,131095,180644,OLED,6.1,1080,2520,449,120,0,550.0,1,240.0, - DCI-P3 - Always-On Display,158.0,68.0,8.0,163.0,IP68,Glass,Metal,"Yes, in-button",4.0,TSMC,7.0,1,731679,8,LPDDR4X,2133.0,2.0,128,UFS 3.0,MicroSD,2.0,4000,21.0,Li-Ion,No,0,0,1,109.0,509.0,766.0,322.0,96.0,12.0,Optical,LED,Digital,No,Up to 60FPS,Up to 60FPS,124.0, - Bokeh mode - Pro mode - RAW support,2.0,4.0,1.12,Phase autofocus,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,Yes,No,Yes,Flagship,1421,950.0,0,22,1,1,1,1,1,1,1,1,1,0,0,0,1
371,Infinix,147172,50782,17888,46469,32033,IPS LCD,6.6,720,1612,267,90,0,500.0,0,180.0,,163.6,75.6,8.5,189.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,0,147172,4,LPDDR4X,1600.0,2.0,64,eMMC 5.1,MicroSD,,5000,10.0,Li-Ion,No,0,0,0,195.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - ,2.0,,,No,8.0,1080p (Full HD) at 30 FPS,No,No,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Budget,203,120.0,1,7,1,1,1,1,1,1,0,0,0,0,0,0,1
372,Xiaomi,276827,89782,40425,64989,81631,IPS LCD,6.5,1080,2400,405,90,0,400.0,1,,,161.9,75.5,8.9,181.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,276827,4,LPDDR4X,1866.0,2.0,64,eMMC 5.1,MicroSD,2.0,5000,18.0,Li-Ion,No,0,1,1,133.0,523.0,781.0,319.0,149.0,50.0,Digital,LED,Digital,No,No,Up to 30FPS,120.0, - Bokeh mode - Pro mode,2.0,2.8,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Budget,1117,180.0,1,7,1,0,1,1,1,1,0,0,0,0,0,0,1
373,Honor,254972,93064,34696,61717,65495,IPS LCD,6.5,1080,2340,396,60,0,430.0,0,,,160.4,76.6,7.8,175.0,No,Glass,Metal,"Yes, rear",1.0,TSMC,12.0,0,254972,4,LPDDR4X,1866.0,2.0,64,eMMC 5.1,MicroSD,2.0,3750,10.0,Li-Po,No,0,0,0,145.0,431.0,597.0,255.0,110.0,20.0,Digital,LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.0,,2.0,No,16.0,1080p (Full HD) at 60 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Mid-range,2152,300.0,0,12,1,1,1,1,1,1,0,0,0,0,0,0,1
374,Motorola,363714,115528,85421,80632,82134,IPS LCD,6.5,720,1600,269,120,0,500.0,0,240.0,,162.7,74.66,8.19,183.0,Yes,Plastic,Plastic,"Yes, in-button",,Samsung,8.0,1,363714,4,LPDDR4X,2133.0,2.0,64,UFS 2.1,MicroSD,1.0,5000,10.0,Li-Po,No,0,1,1,155.0,582.0,833.0,324.0,136.0,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.2,2.76,1.0,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,Yes,Yes,Yes,Stereo,Yes,Yes,Yes,Mid-range,630,200.0,1,18,1,1,1,0,1,1,0,0,0,0,0,0,1
375,Samsung,285439,93214,49042,67614,75569,PLS TFT,6.5,720,1600,270,90,0,500.0,0,,,164.5,75.5,8.8,195.0,No,Plastic,Plastic,"Yes, in-button",2.0,TSMC,7.0,1,285439,4,LPDDR4X,2133.0,2.0,64,eMMC 5.1,MicroSD,3.0,5000,15.0,Li-Po,No,0,0,1,138.0,576.0,820.0,332.0,120.0,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.0,2.76,0.64,No,5.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Mono,Yes,,Yes,Budget,995,249.0,0,18,0,1,1,1,1,1,0,0,0,0,0,0,1
376,Tecno,265219,85473,39924,64027,75795,IPS LCD,6.9,1080,2460,389,60,0,480.0,0,180.0,,173.3,78.8,9.6,207.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,265219,4,LPDDR4X,1866.0,2.0,64,eMMC 5.1,MicroSD,,7000,18.0,Li-Po,No,0,0,1,210.0,,,,,48.0,Digital,Quad LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.0,,0.8,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Budget,1178,150.0,0,7,1,0,1,1,0,1,0,0,0,0,0,0,1
377,Samsung,185374,64990,26753,54180,39451,PLS TFT,6.5,720,1600,270,90,0,450.0,0,,,164.0,75.9,9.7,214.0,No,Plastic,Plastic,"Yes, in-button",,Samsung,8.0,0,185374,3,LPDDR4X,1866.0,2.0,32,eMMC 5.1,MicroSD,2.0,5000,15.0,Li-Ion,No,0,0,1,150.0,532.0,772.0,312.0,113.0,48.0,Digital,LED,No,No,No,Up to 30FPS,123.0, - Bokeh mode - Pro mode,2.0,5.0,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,Yes,Budget,1239,180.0,0,7,1,0,1,1,0,1,0,0,0,0,0,0,1
378,Realme,151295,54211,10058,43049,43977,IPS LCD,6.5,720,1600,270,60,0,400.0,0,120.0,,164.2,75.7,8.5,186.0,No,Plastic,Plastic,"Yes, in-button",,,28.0,0,151295,2,LPDDR4X,,2.0,32,eMMC 5.1,MicroSD,,5000,10.0,Li-Po,No,0,0,0,208.0,,,,,8.0,Digital,LED,Digital,No,No,Up to 30FPS,, - ,2.2,5.0,,No,5.0,720p at 30 FPS,No,No,No,2,Nano,Standby,No,No,No,Mono,Yes,,No,Budget,721,100.0,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1
379,Motorola,866863,256787,272332,177778,159966,POLED,6.7,1220,2712,446,144,1,2000.0,1,360.0, - DCI-P3 - DC Dimming,161.23,72.4,8.19,186.0,IP68,Eco-leather,Metal,"Yes, in-display",4.0,TSMC,4.0,1,866863,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,No,,4500,125.0,Li-Po,No,1,1,1,18.0,538.0,853.0,310.0,112.0,50.0,Optical,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,1.9,2.76,0.64,No,50.0,2160p (4K) at 30 FPS,No,Yes,No,1,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Mid-range,143,699.0,1,18,1,1,1,1,1,1,1,0,0,0,0,0,1
380,Samsung,430012,140164,91050,79061,119737,Super AMOLED,6.7,1080,2400,393,60,0,600.0,0,, - Always-On Display,162.5,75.5,8.1,185.0,No,Plastic,Metal,"Yes, in-display",,Samsung,8.0,1,430012,6,LPDDR4X,1866.0,2.0,128,UFS 2.1,MicroSD,2.0,4500,25.0,Li-Po,No,0,0,1,120.0,,,,,64.0,Digital,LED,Digital,No,Up to 30FPS,Up to 240FPS,123.0, - Bokeh mode - Pro mode,2.2,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Mono,Yes,No,Yes,Mid-range,1543,599.0,0,12,1,1,1,1,1,1,0,0,0,0,0,0,1
381,Honor,402846,135029,62888,103707,101222,IPS LCD,6.7,1080,2388,391,90,0,500.0,0,, - DCI-P3,162.9,74.5,7.48,179.0,No,Plastic,Plastic,"Yes, in-button",2.0,TSMC,7.0,1,402846,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,,4500,35.0,Li-Po,No,0,0,1,112.0,,,,,100.0,Digital,Dual LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.5,,,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,Yes,Mono,No,No,No,Mid-range,448,300.0,1,20,0,0,1,1,1,1,0,0,0,0,0,0,1
382,Realme,1336242,355071,464513,248248,268410,AMOLED,6.74,1240,2772,451,144,1,500.0,1,, - DCI-P3 - Always-On Display - DC Dimming,163.9,75.8,8.9,199.0,No,Glass,Plastic,"Yes, in-display",6.0,TSMC,4.0,1,1336242,8,LPDDR5X,,4.0,128,UFS 3.1,No,1.0,4600,240.0,Li-Po,No,0,0,1,11.0,412.0,694.0,278.0,148.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.5,3.09,1.75,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,540,650.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
383,Samsung,1189058,329603,416565,203688,239202,Dynamic AMOLED,7.6,1812,2176,374,120,1,500.0,1,, - DCI-P3 - Always-On Display,155.1,130.1,6.3,263.0,IPX8,Glass,Metal,"Yes, in-button",6.0,TSMC,4.0,1,1189058,12,LPDDR5,3200.0,4.0,256,UFS 3.1,No,1.0,4400,25.0,Li-Po,No,1,1,1,79.0,450.0,780.0,277.0,119.0,50.0,Digital,LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode,2.2,3.2,1.22,No,10.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,752,1800.0,0,20,1,1,1,1,1,1,1,1,1,0,0,0,1
384,Google,427102,122802,125452,87997,90851,OLED,6.3,1440,2960,522,60,0,400.0,0,, - DCI-P3 - Always-On Display,158.0,76.7,7.9,184.0,IPX8,Glass,Metal,"Yes, rear",2.0,Samsung,10.0,1,427102,4,LPDDR4X,1866.0,2.0,64,UFS 2.1,No,3.0,3430,18.0,Li-Ion,No,1,0,1,120.0,351.0,553.0,247.0,77.0,12.2,Digital,Dual LED,Optical,No,Up to 60FPS,Up to 120FPS,, - Bokeh mode - Pro mode - RAW support,1.8,3.2,1.4,Phase autofocus,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,1,Nano,Standby,Yes,No,No,Stereo,No,No,No,Flagship,2121,900.0,0,16,1,1,1,1,1,1,1,1,1,0,0,0,1
385,Huawei,968050,309079,193891,263102,201978,OLED,6.6,1256,2760,460,120,1,2500.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,157.6,74.3,7.95,207.0,IP68,Glass,Metal,"Yes, in-display",,,,1,968050,12,LPDDR5,2750.0,4.0,256,UFS 3.1,No,,4900,66.0,Li-Po,No,1,1,1,,,,,,50.0,Optical,LED,Digital,No,Up to 60FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.4,1.3,1.2,No,13.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,No,Flagship,113,700.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
386,Google,842548,221486,298771,133827,188464,OLED,6.4,1080,2400,411,90,0,500.0,1,, - DCI-P3 - Always-On Display,158.6,74.8,8.9,207.0,IP68,Glass,Metal,"Yes, in-display",4.0,Samsung,5.0,1,842548,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,2.0,4614,30.0,Li-Ion,No,1,1,1,113.0,427.0,793.0,302.0,85.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode - RAW support,2.0,2.9,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,Yes,Flagship,1056,600.0,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
387,Tecno,428894,131913,71029,106630,119322,AMOLED,6.78,1080,2460,396,120,0,1300.0,0,180.0, - DCI-P3,166.2,76.8,7.9,195.0,IP53,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,428894,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,,6000,70.0,Li-Po,No,0,1,1,60.0,,,,,108.0,Digital,Dual LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,1.7,,0.7,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,Yes,Budget,143,145.0,1,13,1,1,1,1,1,1,0,0,0,0,0,0,1
388,Tecno,270130,84736,35760,73712,75892,AMOLED,6.67,1080,2400,395,60,0,500.0,0,, - DCI-P3 - Always-On Display,163.4,76.7,7.8,190.0,IP53,Plastic,Plastic,"Yes, in-display",,TSMC,12.0,1,270130,8,LPDDR4X,1800.0,2.0,256,UFS 2.1,MicroSD,1.0,5000,33.0,Li-Po,No,0,0,1,88.0,,,,,64.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.5,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Budget,479,160.0,1,7,1,0,1,1,1,1,0,0,0,0,0,0,1
