Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Memory clock,Channels,Storage size (GB),Storage type,Memory card,OS suppoert (years),Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Web browsing (min),Watching video (min),Gaming (min),Standby (hr),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Angle of widest lens (°),Camera features,Aperture,Sensor size,Pixel size (micron),Autofocus,Front camera megapixels,Video resolution,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Type of SIM card,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Speakers,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price ($),Bundled charger,Max rated brightness in HDR (nits),RGB color space (%),PWM,Front camera Response time (ms),Front camera Focal length (mm),LTE Cat*,Front camera Max surface temperature (C),Front camera Stability (%),Front camera Graphics test (FPS),Graphics score,Web score,Video editing,Photo editing,Data manipulation,Writing score,Advanced cooling,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor
Realme,151295,54211,10058,43049,43977,IPS LCD,6.5,720,1600,270,60,0,400.0,0,120.0,,164.2,75.7,8.5,186.0,No,Plastic,Plastic,"Yes, in-button",,,28.0,0,151295,2,LPDDR4X,,2.0,32,eMMC 5.1,MicroSD,,5000,10.0,Li-Po,No,0,0,0,208.0,,,,,8.0,Digital,LED,Digital,No,No,Up to 30FPS,, - ,2.2,5.0,,No,5.0,720p at 30 FPS,No,No,No,2,Nano,Standby,No,No,No,Mono,Yes,,No,Budget,721,100.0,1,,,,,,7.0,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Motorola,866863,256787,272332,177778,159966,POLED,6.7,1220,2712,446,144,1,2000.0,1,360.0, - DCI-P3 - DC Dimming,161.23,72.4,8.19,186.0,IP68,Eco-leather,Metal,"Yes, in-display",4.0,TSMC,4.0,1,866863,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,No,,4500,125.0,Li-Po,No,1,1,1,18.0,538.0,853.0,310.0,112.0,50.0,Optical,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,1.9,2.76,0.64,No,50.0,2160p (4K) at 30 FPS,No,Yes,No,1,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Mid-range,143,699.0,1,,98.0,714.0,1.0,21.0,18.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Samsung,430012,140164,91050,79061,119737,Super AMOLED,6.7,1080,2400,393,60,0,600.0,0,, - Always-On Display,162.5,75.5,8.1,185.0,No,Plastic,Metal,"Yes, in-display",,Samsung,8.0,1,430012,6,LPDDR4X,1866.0,2.0,128,UFS 2.1,MicroSD,2.0,4500,25.0,Li-Po,No,0,0,1,120.0,,,,,64.0,Digital,LED,Digital,No,Up to 30FPS,Up to 240FPS,123.0, - Bokeh mode - Pro mode,2.2,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Mono,Yes,No,Yes,Mid-range,1543,599.0,0,,,,,26.0,12.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Honor,402846,135029,62888,103707,101222,IPS LCD,6.7,1080,2388,391,90,0,500.0,0,, - DCI-P3,162.9,74.5,7.48,179.0,No,Plastic,Plastic,"Yes, in-button",2.0,TSMC,7.0,1,402846,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,,4500,35.0,Li-Po,No,0,0,1,112.0,,,,,100.0,Digital,Dual LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.5,,,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,Yes,Mono,No,No,No,Mid-range,448,300.0,1,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Realme,1336242,355071,464513,248248,268410,AMOLED,6.74,1240,2772,451,144,1,500.0,1,, - DCI-P3 - Always-On Display - DC Dimming,163.9,75.8,8.9,199.0,No,Glass,Plastic,"Yes, in-display",6.0,TSMC,4.0,1,1336242,8,LPDDR5X,,4.0,128,UFS 3.1,No,1.0,4600,240.0,Li-Po,No,0,0,1,11.0,412.0,694.0,278.0,148.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.5,3.09,1.75,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,540,650.0,1,1400.0,,,,25.0,20.0,,62.0,60.0,10143.0,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Samsung,1189058,329603,416565,203688,239202,Dynamic AMOLED,7.6,1812,2176,374,120,1,500.0,1,, - DCI-P3 - Always-On Display,155.1,130.1,6.3,263.0,IPX8,Glass,Metal,"Yes, in-button",6.0,TSMC,4.0,1,1189058,12,LPDDR5,3200.0,4.0,256,UFS 3.1,No,1.0,4400,25.0,Li-Po,No,1,1,1,79.0,450.0,780.0,277.0,119.0,50.0,Digital,LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode,2.2,3.2,1.22,No,10.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,752,1800.0,0,1200.0,95.5,120.0,1.0,26.0,20.0,36.5,62.0,57.0,9646.0,11833.0,7389.0,32254.0,11219.0,16806.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Google,427102,122802,125452,87997,90851,OLED,6.3,1440,2960,522,60,0,400.0,0,, - DCI-P3 - Always-On Display,158.0,76.7,7.9,184.0,IPX8,Glass,Metal,"Yes, rear",2.0,Samsung,10.0,1,427102,4,LPDDR4X,1866.0,2.0,64,UFS 2.1,No,3.0,3430,18.0,Li-Ion,No,1,0,1,120.0,351.0,553.0,247.0,77.0,12.2,Digital,Dual LED,Optical,No,Up to 60FPS,Up to 120FPS,, - Bokeh mode - Pro mode - RAW support,1.8,3.2,1.4,Phase autofocus,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,1,Nano,Standby,Yes,No,No,Stereo,No,No,No,Flagship,2121,900.0,0,,100.0,250.0,15.0,28.0,16.0,44.7,94.0,9.0,1663.0,6957.0,6557.0,18277.0,6593.0,9933.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Huawei,968050,309079,193891,263102,201978,OLED,6.6,1256,2760,460,120,1,2500.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,157.6,74.3,7.95,207.0,IP68,Glass,Metal,"Yes, in-display",,,,1,968050,12,LPDDR5,2750.0,4.0,256,UFS 3.1,No,,4900,66.0,Li-Po,No,1,1,1,,,,,,50.0,Optical,LED,Digital,No,Up to 60FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.4,1.3,1.2,No,13.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,No,Flagship,113,700.0,1,,,,,125.0,,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Google,842548,221486,298771,133827,188464,OLED,6.4,1080,2400,411,90,0,500.0,1,, - DCI-P3 - Always-On Display,158.6,74.8,8.9,207.0,IP68,Glass,Metal,"Yes, in-display",4.0,Samsung,5.0,1,842548,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,2.0,4614,30.0,Li-Ion,No,1,1,1,113.0,427.0,793.0,302.0,85.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode - RAW support,2.0,2.9,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,Yes,Flagship,1056,600.0,0,800.0,99.8,397.0,5.0,24.0,20.0,42.1,56.0,38.0,6379.0,7610.0,6489.0,17704.0,10336.0,14906.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Tecno,428894,131913,71029,106630,119322,AMOLED,6.78,1080,2460,396,120,0,1300.0,0,180.0, - DCI-P3,166.2,76.8,7.9,195.0,IP53,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,428894,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,,6000,70.0,Li-Po,No,0,1,1,60.0,,,,,108.0,Digital,Dual LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,1.7,,0.7,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,Yes,Budget,143,145.0,1,,,,,,13.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Tecno,270130,84736,35760,73712,75892,AMOLED,6.67,1080,2400,395,60,0,500.0,0,, - DCI-P3 - Always-On Display,163.4,76.7,7.8,190.0,IP53,Plastic,Plastic,"Yes, in-display",,TSMC,12.0,1,270130,8,LPDDR4X,1800.0,2.0,256,UFS 2.1,MicroSD,1.0,5000,33.0,Li-Po,No,0,0,1,88.0,,,,,64.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.5,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Budget,479,160.0,1,,,,,24.0,7.0,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Nokia,205938,70221,25466,53060,57191,IPS LCD,6.5,720,1600,270,90,0,480.0,0,,,164.6,75.9,8.5,190.0,No,Plastic,Plastic,"Yes, in-button",1.0,TSMC,12.0,0,205938,3,LPDDR4X,,2.0,64,eMMC 5.1,MicroSD,2.0,5050,18.0,Li-Ion,No,0,0,1,169.0,638.0,861.0,369.0,128.0,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.0,2.76,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Budget,933,190.0,1,,94.9,,49.0,28.0,,,,,,7605.0,4763.0,11995.0,5824.0,8365.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Realme,413030,138009,74490,98103,102428,IPS LCD,6.72,1604,720,262,120,0,625.0,0,240.0, - DCI-P3,165.6,76.1,7.69,190.0,IP54,Plastic,Plastic,"Yes, in-button",2.0,TSMC,6.0,1,413030,4,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5000,15.0,Li-Po,No,0,0,1,135.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.0,,0.64,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,Yes,Stereo,Yes,No,Yes,Mid-range,143,220.0,1,,,,,26.0,18.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Google,1142697,355012,374696,183080,229909,OLED,6.2,1080,2400,428,120,1,2000.0,1,, - DCI-P3 - Always-On Display,150.5,70.8,8.9,187.0,IP68,Glass,Metal,"Yes, in-display",,Samsung,4.0,1,1142697,8,LPDDR5X,4200.0,4.0,128,UFS 3.1,No,,4575,27.0,Li-Po,No,1,1,1,76.0,488.0,846.0,289.0,81.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,126.0, - Bokeh mode,2.2,3.1,1.22,No,10.5,2160p (4K) at 60 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,No,Flagship,326,699.0,0,1400.0,99.2,170.0,3.0,21.0,20.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Xiaomi,409383,125729,104829,75811,103014,AMOLED,6.43,1080,2400,409,60,0,450.0,1,, - DCI-P3 - Always-On Display - DC Dimming,160.5,74.5,8.3,178.8,IP53,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,409383,6,LPDDR4X,2133.0,2.0,64,UFS 2.2,MicroSD,2.0,5000,33.0,Li-Po,No,0,1,1,69.0,550.0,786.0,329.0,129.0,64.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,118.0, - Bokeh mode - Pro mode - RAW support,2.5,3.06,1.12,No,13.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Mid-range,1239,190.0,0,1100.0,91.6,250.0,4.4,13.0,12.0,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Sony,762183,237322,192626,149760,182475,OLED,6.5,1644,3840,643,60,0,580.0,1,, - DCI-P3,165.1,71.1,7.6,181.0,IP68,Glass,Metal,"Yes, in-button",4.0,TSMC,7.0,1,762183,8,LPDDR4X,2133.0,2.0,256,UFS 3.0,MicroSD,2.0,4000,21.0,Li-Ion,No,1,0,1,115.0,314.0,592.0,227.0,97.0,12.0,Optical,LED,Digital,No,Up to 60FPS,Up to 60FPS,124.0, - Bokeh mode - Pro mode - RAW support,2.0,4.0,1.12,Phase autofocus,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,Yes,Stereo,Yes,No,Yes,Flagship,1513,1200.0,0,,123.3,240.0,7.5,24.0,22.0,48.0,99.0,22.0,3813.0,7048.0,5807.0,28410.0,8245.0,14435.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Xiaomi,357730,109240,61480,86343,100667,AMOLED,6.67,1080,2400,395,120,0,700.0,1,360.0, - DCI-P3 - Always-On Display,164.2,76.1,8.12,202.0,IP53,Glass,Plastic,"Yes, in-button",,TSMC,12.0,1,357730,6,LPDDR4X,2133.0,2.0,64,UFS 2.2,MicroSD,2.0,5000,67.0,Li-Po,No,0,0,1,48.0,357.0,616.0,265.0,126.0,108.0,Digital,LED,Digital,No,No,Up to 30FPS,118.0, - Bokeh mode - Pro mode,2.4,2.9,1.25,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,Yes,No,Stereo,Yes,Yes,Yes,Mid-range,933,229.0,1,1200.0,,,,26.0,13.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,1314985,377710,477184,223959,236132,AMOLED,6.67,1220,2712,446,120,0,500.0,1,480.0, - DCI-P3 - Always-On Display - DC Dimming,163.1,75.9,8.6,205.0,IP53,Glass,Plastic,"Yes, in-display",6.0,TSMC,4.0,1,1314985,8,LPDDR5,,4.0,128,UFS 3.1,No,2.0,5000,120.0,Li-Po,No,0,0,1,23.0,498.0,756.0,304.0,94.0,200.0,Digital,Dual LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.2,3.47,0.8,No,20.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,691,750.0,1,900.0,98.2,120.0,1.0,23.0,20.0,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Infinix,424956,129012,64961,113345,117638,LTPS LCD,6.78,1080,2460,396,120,0,580.0,0,240.0, - DCI-P3,168.62,76.6,8.58,219.0,IP53,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,424956,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,1.0,5000,45.0,Li-Po,No,0,1,1,57.0,435.0,707.0,301.0,126.0,64.0,Digital,Quad LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.0,3.0,0.8,No,16.0,1080p (Full HD) at 60 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Mid-range,479,230.0,1,,,,,,13.0,,99.0,7.0,1251.0,9581.0,6428.0,25901.0,7572.0,12836.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,445215,157561,52509,115134,120011,LTPS LCD,6.79,1080,2460,396,120,0,550.0,0,,,168.6,76.3,8.3,168.6,IP53,Glass,Plastic,"Yes, in-button",,Samsung,4.0,1,445215,6,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5030,33.0,Li-Po,No,0,0,1,,,,,,108.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode,2.5,1.67,0.64,No,13.0,1080p (Full HD) at 30 FPS,No,No,Yes,2,Nano,Standby,No,Yes,Yes,Mono,Yes,No,,Budget,21,160.0,1,,,,,28.0,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Samsung,406776,130998,85094,86339,104345,Super AMOLED,6.5,1080,2400,405,60,0,400.0,0,, - Always-On Display,158.9,73.6,8.7,187.0,No,Plastic,Metal,"Yes, in-display",,Samsung,8.0,1,406776,6,LPDDR4X,1866.0,2.0,128,UFS 2.0,MicroSD,3.0,4500,15.0,Li-Po,No,0,0,1,125.0,445.0,729.0,311.0,81.0,48.0,Digital,LED,Digital,No,Up to 30FPS,Up to 120FPS,123.0, - Bokeh mode - Pro mode,2.2,2.8,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Mono,Yes,Yes,Yes,Mid-range,1543,499.0,0,,,,,26.0,12.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Realme,228611,75961,31322,59626,61702,IPS LCD,6.5,720,1600,270,60,0,400.0,0,120.0,,164.1,75.6,8.5,182.0,No,Plastic,Plastic,No,,TSMC,12.0,1,228611,2,LPDDR4X,,2.0,32,UFS 2.2,MicroSD,,5000,10.0,Li-Po,No,0,0,0,175.0,,,,,8.0,Digital,LED,Digital,No,No,Up to 30FPS,, - ,2.2,5.0,,No,5.0,720p at 30 FPS,No,No,No,2,Nano,Standby,No,No,No,Mono,Yes,No,No,Budget,783,85.0,1,,,,,27.0,7.0,,,,,7199.0,4916.0,14850.0,5735.0,7832.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Samsung,1223247,337583,457239,190080,238345,Dynamic AMOLED,6.4,1080,2340,403,120,1,1450.0,1,, - DCI-P3 - Always-On Display,158.0,76.5,8.2,209.0,IP68,Glass,Metal,"Yes, in-display",6.0,Samsung,4.0,1,1223247,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,1.0,4500,25.0,Li-Ion,No,1,1,1,70.0,429.0,602.0,267.0,118.0,50.0,Digital,LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode,2.4,3.0,1.22,No,10.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,326,599.0,0,,,,,26.0,20.0,,,,,,,,,,Vapor chamber,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Xiaomi,532707,153680,113320,118696,146831,OLED,6.67,1080,2400,395,120,0,500.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,162.9,76.0,8.98,210.5,IP53,Glass,Plastic,"Yes, in-button",,TSMC,6.0,1,532707,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,1.0,5000,120.0,Li-Po,No,0,0,1,23.0,449.0,728.0,315.0,89.0,200.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.6,3.06,1.0,No,16.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,Yes,No,Yes,Mid-range,540,499.0,1,1200.0,104.3,121.0,1.0,24.0,,48.4,99.0,13.0,2260.0,9571.0,7179.0,23622.0,10684.0,13479.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,438474,139179,70560,112227,116508,AMOLED,6.67,1080,2400,395,120,0,1000.0,0,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.1,75.0,7.7,175.0,IP54,Plastic,Plastic,"Yes, in-button",2.0,TSMC,6.0,1,438474,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5000,33.0,Li-Po,No,0,0,1,76.0,,,,,108.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.6,3.06,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,Yes,Yes,,Yes,Yes,,Mid-range,174,190.0,1,,,,,24.0,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,386760,126133,61516,89310,109801,AMOLED,6.43,1080,2400,409,90,0,700.0,0,180.0, - DCI-P3 - Always-On Display,159.87,73.87,8.09,179.5,IP53,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,386760,6,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,2.0,5000,33.0,Li-Po,No,0,0,1,70.0,472.0,761.0,316.0,132.0,64.0,Digital,LED,Digital,No,No,Up to 30FPS,118.0, - Bokeh mode - Pro mode,2.5,3.06,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,No,Stereo,Yes,Yes,No,Mid-range,905,220.0,1,,,,,,13.0,,99.0,6.0,1162.0,6266.0,5038.0,17322.0,7197.0,9135.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Infinix,464375,141916,81456,110037,130966,AMOLED,6.78,1080,2436,393,120,0,1300.0,0,360.0, - DCI-P3 - Always-On Display,164.35,74.6,7.75,196.0,IP53,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,464375,12,LPDDR4X,2133.0,2.0,256,UFS 2.2,MicroSD,,4600,100.0,Li-Po,No,1,1,1,27.0,524.0,921.0,289.0,142.0,108.0,Digital,Dual LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.2,3.1,0.8,No,32.0,1080p (Full HD) at 60 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,No,Stereo,No,Yes,No,Mid-range,174,300.0,1,,,,,24.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Vivo,2132894,476415,912996,402578,340905,AMOLED,6.78,1440,3200,518,144,1,3000.0,1,, - DCI-P3 - Always-On Display - DC Dimming,164.63,75.4,8.58,205.0,IP68,,Metal,"Yes, in-display",12.0,TSMC,4.0,1,2132894,16,LPDDR5X,,4.0,256,UFS 4.0,No,,5100,120.0,Li-Po,No,1,1,1,,,,,,50.0,Optical,Dual LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode - RAW support,2.5,3.1,1.0,Phase autofocus,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,295,810.0,1,,,,,15.0,20.0,,83.0,97.0,16344.0,10123.0,6433.0,31305.0,12291.0,19927.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Motorola,504808,160778,92172,126077,125781,POLED,6.67,1080,2400,395,120,1,1600.0,0,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.91,73.06,7.59,173.0,No,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,504808,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,MicroSD,,5000,30.0,Li-Po,No,0,0,1,75.0,612.0,853.0,332.0,126.0,50.0,Digital,LED,Digital,No,No,Up to 60FPS,118.0, - Bokeh mode - Pro mode,2.5,1.95,0.7,No,32.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,1,Nano,Standby,Yes,,Yes,Stereo,,Yes,Yes,Mid-range,82,299.0,1,,99.7,288.0,2.0,,18.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LG,743497,232044,198128,130839,182486,POLED,6.8,1080,2460,395,60,0,600.0,1,, - DCI-P3 - Always-On Display,169.3,77.6,8.9,214.0,IP68,Glass,Metal,"Yes, in-display",4.0,TSMC,7.0,1,743497,8,LPDDR4X,2133.0,2.0,128,UFS 2.1,MicroSD,3.0,5000,25.0,Li-Po,No,1,0,1,105.0,493.0,800.0,344.0,100.0,64.0,Digital,Dual LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,118.0, - Bokeh mode - Pro mode - RAW support,1.9,3.1,1.22,Phase autofocus,10.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,Yes,Stereo,Yes,Yes,No,Flagship,1543,799.0,0,,,,,30.0,22.0,,99.0,23.0,3855.0,7695.0,5724.0,27949.0,8366.0,14140.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Samsung,1864199,453524,740162,361342,309171,Dynamic AMOLED,6.2,1080,2340,416,120,1,2600.0,1,, - DCI-P3 - Always-On Display,147.0,70.6,7.6,167.0,IP68,Glass,Metal,"Yes, in-display",12.0,TSMC,4.0,1,1864199,8,LPDDR5X,4266.0,4.0,128,UFS 4.0,No,,4000,25.0,Li-Ion,No,1,1,1,75.0,427.0,932.0,303.0,83.0,50.0,Digital,LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.2,3.2,1.12,Phase autofocus,12.0,2160p (4K) at 60 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,Yes,Flagship,234,799.0,0,,,,,26.0,20.0,,49.0,104.0,17532.0,17459.0,7979.0,36092.0,16465.0,21029.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Motorola,351771,122625,69314,78462,81370,IPS LCD,6.5,720,1600,269,90,0,450.0,0,,,164.9,74.9,9.0,192.0,IP53,Plastic,Plastic,"Yes, rear",,Samsung,8.0,1,351771,4,LPDDR4X,1866.0,2.0,64,UFS 2.1,MicroSD,1.0,5000,15.0,Li-Po,No,0,0,1,155.0,673.0,936.0,358.0,151.0,48.0,Digital,LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.2,3.1,1.12,No,13.0,1080p (Full HD) at 60 FPS,No,Yes,No,2,Nano,Standby,No,Yes,Yes,Mono,Yes,Yes,No,Mid-range,1239,260.0,0,,93.2,2336000.0,44.0,26.0,12.0,44.3,99.0,5.0,983.0,7466.0,4327.0,17288.0,7130.0,10129.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
